Date,Menu Name,Qty,Price
2018-12-29 10:24:07,A5. GOLDEN CHICKEN KARAAGE,1,62000
,C2. KURO CHICKEN CHARSIU EGG,1,68000
2018-12-29 12:24:16,A8. GOLDEN PORK BELLY EGG,1,64000
,JAPANESE OCHA,1,20000
,OGURA ICE CREAM,1,18000
2018-12-29 12:57:16,C7. KURO PORK BELLY,1,61000
,C7. KURO PORK BELLY,1,61000
,JAPANESE OCHA,2,20000
,JAPANESE OCHA,1,20000
,B7. TANTAN PORK BELLY,1,61000
2018-12-29 13:10:34,B8. TANTAN PORK BELLY EGG,1,69000
,MAZEMEN MINCED PORK+PORK BELLY,1,75000
,JAPANESE OCHA,2,20000
,GYOZA PORK,1,35000
2018-12-29 13:27:08,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
,TARO MILK TEA,1,25000
,SOYA MILK,1,20000
,FLAN PUDDING,1,25000
2018-12-29 14:23:22,C8. KURO PORK BELLY EGG,1,69000
,B8. TANTAN PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
2018-12-29 14:34:19,D6. CURRY CHICKEN KARAAGE EGG,1,75000
,A4. GOLDEN QUARTER CHICKEN EGG,1,65000
,JAPANESE OCHA,2,20000
2018-12-29 14:46:50,A8. GOLDEN PORK BELLY EGG,1,64000
2018-12-29 14:47:50,B8. TANTAN PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
,JAPANESE OCHA,1,20000
,SEASONED EGG,1,10000
2018-12-29 14:49:21,D8. CURRY PORK BELLY EGG,1,69000
,B6. TANTAN CHICKEN KARAAGE EGG,1,75000
,JAPANESE OCHA,2,20000
,SPRITE SODA,2,15000
2018-12-29 14:49:47,C2. KURO CHICKEN CHARSIU EGG,1,68000
2018-12-29 14:50:51,A6. GOLDEN CHICKEN KARAAGE EGG,1,70000
,JAPANESE OCHA,1,20000
,ABURI CHICKEN CHARSIU,1,20000
,TORIPAITAN SOUP,1,15000
2018-12-29 14:54:37,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,JAPANESE OCHA,1,20000
,BAMBOO SHOOT,1,15000
2018-12-29 15:43:42,B2. TANTAN CHICKEN CHARSIU EGG,1,68000
,A8. GOLDEN PORK BELLY EGG,1,64000
,JAPANESE OCHA,2,20000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,GYOZA CHICKEN,1,35000
2018-12-29 16:27:04,C2. KURO CHICKEN CHARSIU EGG,1,68000
,B2. TANTAN CHICKEN CHARSIU EGG,1,68000
,GYOZA PORK,1,35000
,JAPANESE OCHA,2,20000
2018-12-29 17:23:52,C8. KURO PORK BELLY EGG,1,69000
,A8. GOLDEN PORK BELLY EGG,1,64000
,MINERAL WATER,1,10000
2018-12-29 17:59:00,B7. TANTAN PORK BELLY,1,61000
,JAPANESE OCHA,1,20000
,GYOZA PORK,1,35000
,B8. TANTAN PORK BELLY EGG,1,0
2018-12-29 18:25:22,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
,JAPANESE OCHA,1,20000
,JAPANESE OCHA,1,20000
2018-12-29 18:25:52,D6. CURRY CHICKEN KARAAGE EGG,1,75000
2018-12-29 18:30:48,A8. GOLDEN PORK BELLY EGG,1,64000
,B8. TANTAN PORK BELLY EGG,1,69000
,C10. KURO MEGA PORK BELLY EGG,1,84000
,GYOZA PORK,1,35000
,JAPANESE OCHA,2,20000
2018-12-29 19:31:32,B8. TANTAN PORK BELLY EGG,1,69000
,CHICKEN KARAAGE,1,37000
,MINERAL WATER,1,10000
2018-12-29 19:32:20,A4. GOLDEN QUARTER CHICKEN EGG,1,65000
2018-12-29 19:33:43,B10. TANTAN MEGA PORK BELLY EGG,1,84000
,JAPANESE OCHA,1,20000
,GYOZA PORK,1,35000
,C10. KURO MEGA PORK BELLY EGG,1,0
2018-12-29 19:34:08,C10. KURO MEGA PORK BELLY EGG,1,84000
2018-12-29 19:47:39,A8. GOLDEN PORK BELLY EGG,1,64000
,B2. TANTAN CHICKEN CHARSIU EGG,1,68000
,CHICKEN KARAAGE,1,37000
,JAPANESE OCHA,2,20000
2018-12-29 19:49:53,BUTADON,1,50000
,B8. TANTAN PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
,MINERAL WATER,1,10000
2018-12-29 20:03:51,B7. TANTAN PORK BELLY,1,61000
,B8. TANTAN PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
